,name,github_id,labels,category,homepage,dependent_project_count,github_dependent_project_count,contributor_count,description,projectrank,show,projectrank_placing,pypi_id,pypi_url,trending,pypi_monthly_downloads,monthly_downloads
35,dg,pyos/dg,['written-in-python'],supersets,{},10.0,10.0,2.0,,1,False,3.0,,,,,
36,hissp,gilch/hissp,['written-in-python'],supersets,{},6.0,6.0,4.0,,1,False,3.0,,,,,
37,bython,mathialo/bython,['written-in-python'],supersets,{},24.0,24.0,2.0,,1,False,3.0,bython,https://pypi.org/project/bython,-1.0,,
38,starlark,bazelbuild/starlark,['written-in-go'],subsets,{},,,32.0,,1,False,3.0,,,,,
39,erg,erg-lang/erg,['written-in-rust'],implemented-in-other-languages,{},1.0,1.0,25.0,,1,False,3.0,,,,,
40,jython,jython/jython,['written-in-java'],implemented-in-other-languages,{},,,94.0,,1,False,3.0,,,,,
41,graalpython,oracle/graalpython,['written-in-java'],implemented-in-other-languages,{},,,90.0,,1,False,3.0,,,,,
42,ironpython,IronLanguages/ironpython3,['written-in-csharp'],implemented-in-other-languages,{},,,40.0,,1,False,3.0,,,,,
43,pocketpy,pocketpy/pocketpy,['written-in-cpp'],implemented-in-other-languages,{},2.0,2.0,56.0,,1,False,3.0,,,,,
44,starlark-rust,facebook/starlark-rust,['written-in-rust'],implemented-in-other-languages,{},,,131.0,,1,False,3.0,,,,,
45,codon,exaloop/codon,['written-in-cpp'],compilers,{},,,21.0,,1,False,3.0,,,,,
46,shedskin,shedskin/shedskin,['written-in-python'],compilers,{},,,28.0,,1,False,3.0,,,,,
47,lpython,lcompilers/lpython,['written-in-cpp'],compilers,{},,,80.0,,1,False,3.0,,,,,
48,pytago,nottheswimmer/pytago,['written-in-python'],compilers,{},3.0,3.0,6.0,,1,False,3.0,,,,,
49,skybison,tekknolagi/skybison,['written-in-cpp'],cpython-forks,{},,,90.0,,1,False,3.0,,,,,
50,mingshe,abersheeran/mingshe,['written-in-python'],supersets,{},2.0,2.0,2.0,,0,False,,mingshe,https://pypi.org/project/mingshe,,46.0,46.0
51,violet,LiarPrincess/Violet,['written-in-swift'],implemented-in-other-languages,{},,,3.0,,0,False,,,,,,
52,osmium,Rexicon226/osmium,['written-in-zig'],implemented-in-other-languages,{},,,,,0,False,,,,,,
53,cl-python,metawilm/cl-python,,implemented-in-other-languages,{},,,12.0,,0,False,,,,,,
54,edge-python,dylan-sutton-chavez/edge-python,['written-in-rust'],implemented-in-other-languages,{},,,,,0,False,,,,,,
55,minipy,xupingmao/minipy,['written-in-c'],implemented-in-other-languages,{},,,7.0,,0,False,,,,,,
56,mypyc,mypyc/mypyc,['written-in-python'],compilers,{},,,20.0,,0,False,,,,,,
57,prometeo,zanellia/prometeo,['written-in-python'],compilers,{},2.0,2.0,6.0,,0,False,,,,,,
58,pytocs,uxmal/pytocs,['written-in-csharp'],compilers,{},,,11.0,,0,False,,,,,,
59,rusthon,rusthon/Rusthon,['written-in-python'],compilers,{},,,14.0,,0,False,,,,,,
60,kuroko,kuroko-lang/kuroko,['written-in-c'],supersets,{},,,2.0,,-1,False,3.0,,,,,
61,makrell,hcholm/makrell-py,['written-in-python'],supersets,{},2.0,2.0,2.0,,-1,False,3.0,,,,,
62,pytra,yaneurao/Pytra,['written-in-python'],compilers,{},,,2.0,,-1,False,3.0,,,,,
